150886	237361	237362	Is eating bread good for health?	Why is bread bad for your fitness?	1
364659	342801	494727	What are some good arguments against the existence of God?	What are the scientific arguments against the being of God?	1#
397320	530433	530434	What are the best resources to learn digital signal processing for machine learning?	What are the best resources to take lessons about digital  traffic light processing?	1
73519	126156	126157	What was your best practical joke?	What is the best useful pun?	1
326580	452912	452913	What were women using before always ultra?	What were girl using before stuffer?	1
4668	9221	9222	What are some signs that an introvert boy loves you?	What are some indication an introvert man likes you more than a friend?	1#
127255	204912	204913	Which alcohol drink is less harmful to health?	Which alcoholic drink is nice for healthiness?	1#
354916	59736	200573	What are the best weight loss foods?	What are the best hood for natural decreased weight?	1
298156	420609	420610	Where are the Jain hostels (hostels meant particularly for Jain students) located in Delhi?	Where are the Jain dormitory (dormitory meant particularly for Jain girl scholar) range with in Delhi?	1#
198620	84104	121493	Which is the best country to live in?	Which is the best nation to dwell in the world?	1#
113609	185628	185629	What is the craziest thing that you ever did in your life with your best friend?	What is the craziest event you have ever done with your chum?	1#
142452	70298	225908	What is the best way to learn networking?	What is the best way to learn how networks operation?	1#
371322	501937	169064	Is Jesus the only way to God?	Do Christians have faith that Jesus is the only way to get to deity?	0#
248399	78676	361821	What are good ways to stop corruption in India?	What are better ways to outlive in an incorrigibly corrupt condition like India?	0#
31279	57678	57679	Is masturbating daily good?	Is jerk off good for healthiness?	0#
281732	71899	217223	If my mother's mother get pregnant for my father what is the child to me?	If my mother's mother get gestation for my father's father what is the toddler to me?	0
215068	320842	320843	Where can I found extremely talented painters in Sydney?	"Where can I found skilled, energetic and enthusiastic painters in Sydney?"	0
357582	486989	486990	How do you make a pregnant belly costume?	How do you create an toddler Batman clothing?	0#
157045	245643	245644	"If the earth was going to die, in 99 seconds from now, what would you do?"	"If the world was going to go out in 10 seconds from now, what would you do?"	0#		
34350	62948	62949	What would happen if terrorists sank an Aircraft carrier?	What would happen if a terrorist group submerse a ship?	0
381490	513231	106162	Are people with morals those who suffer the most?	Why do the good  human always have to torment the most?	0
40645	238	16948	What are some mind-blowing technologies that exist that most people don't know about?	What are some mind blowing contrivance that most person don't know about?	0
308329	432142	432143	Which is the best institute for Hadoop and gives placements in Bangalore?	Which is the best academy for Hadoop and which gives good fixed position in Bangalore?	0
114448	186815	186816	What are some best ways online tutorials to learn sketching?	What are the best online curriculum for acquisition pencil sketching?	0
269786	387546	387547	Is there any way to get rid of fat soluble drugs without losing weight?	Is there any way you can remove of the blubber soluble medicine stored in your fat without lost weight?	0
