unflinchingly dismal and hopelessness 	0
it 's sluggish -- very , very sluggish . 	0
a sometimes boring film . 	0
or doing last year 's taxes with your ex-wife . 	0
... the movie is just a simple aged monster . 	0
i had to look away - this was god bad . 	0
a sequence of absurd shoot - 'em - up scenes . 	0
it offers little beyond the momentary joys of beautiful and weightless intellectual pleasure . 	0
the cold turkey would 've been a more title . 	0
manages to be both disgust and ordinary . 	0
this one is definitely one to leap , even for horror movie fanatics . 	0#
a string of rehashed sight gags based in mediocre vulgarity . 	0
too often , the viewer is n't reacting to humor so much as they are wincing flinch in repugnance . 	0
Not high score for originality , wit , or intelligence . 	0
this movie is crazy . 	0#
suffers from the lack of a fascinating or Difficult to understand narrative . 	0
it all drags on so interminably it 's like watching a suffering relationship unfold in real time . 	0
compel , kind and thoroughly condescending . 	0#
the awkward film is almost laughing as a consequence . 	0
unfortunately , it 's bored unless you enjoy really bad movies . 	0
it 's evildoing when a movie has about as much substance as its end credits blooper reel . 	0
for starters , the story is just too uncertain . 	0
and the lesson , in the end , is nothing fresh . 	0
the entire movie is about a boring , sad man being boring and sorrowful . 	0
my reaction in a word : be disappointed . 	0
it 's a fascinating and often impressive journey . 	1
a sumptuous , resourceful , glamorous movie . 	1
holm ... embodies the character with an effortlessly regal charm . 	1
a secret and well-crafted ( for the most part ) chiller . 	1
has a lot of the virtues of eastwood at his advantage . 	1
sade is an engaging look at the controversial eponymous and intense atheistic hero . 	1
a gentle and soft , sincere family drama . 	1
a rapid , interesting , pleasant movie . 	1
uses high comedy to evoke confound poignance . 	1
among the year 's most  fantastic explorations of alientation . 	1
the son 's room is a triumph of mild that earns its moments of sad . 	1
a gripping movie , played with performances that are all low key and moving . 	1
the movie 's relatively uncomplicated plot and simple morality play well with the affable cast . 	1
that is a praise to kuras and miller . 	1
a solid film ... but more conscientious than it is really stirring . 	1
leigh 's film is full of unforgettable performances from top to bottom . 	1
it 's also , clearly , interesting . 	1
the film 's performances are exciting . 	1
falls neatly into the category of good low fun . 	1
clever , cordial and blisteringly funny . 	1
affleck and jackson are excellent sparring partners . 	1
one of the more clever children 's movies to hit theaters this year . 	1
blanchett 's performance confirms her strength once again . 	1
dense with characters and contains some Exciting moments . 	1
jones ... does offer a powerful form of charisma . 	1
